公司代號,公司名稱,英文簡稱,申報原因,產業類別,報告書內容涵蓋期間,編製依循準則,第三方驗證-驗證單位,第三方驗證-單位名稱,第三方驗證-採用標準,公司網站報告書相關資訊(中文版),中文版永續報告書,中文版上傳日期,英文版永續報告書網址,英文版永續報告書,英文版上傳日期,中文版永續報告書(修正後版本),上傳日期(中文修正後版本),英文版永續報告書(修正後版本),上傳日期(英文修正後版本),報告書聯絡資訊,備註
"1101","台泥","TCC","5.股本達新臺幣二十億元以上者","水泥工業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","https://www.taiwancement.com/tw/esgReport.html","t100sa11_1101_111.pdf","112/06/28","https://www.taiwancement.com/en/esgReport.html","t100sa11_1101_111_E.pdf","2023/06/28","","","","","tcc_csr@taiwancement.com","",
"1102","亞泥","ACC","5.股本達新臺幣二十億元以上者","水泥工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","SGS公司","AA1000 第2類型(Type2) 中度保證","https://esg.acc.com.tw/","t100sa11_1102_111.pdf","112/06/30","https://esg.acc.com.tw/en/resource_center/esg_report","t100sa11_1102_111_E.pdf","2023/08/02","t100sa11_1102_111_M.pdf","112/08/02","","","sheng.lin@acc.com.tw","溫室氣體查驗於2023/06/30完成，待取得第三方驗證報告書後將再更新。",
"1103","嘉泥","CHC","5.股本達新臺幣二十億元以上者","水泥工業","111/01/01~111/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會台灣分公司(BSI Taiwan)","AA1000 第1類型(Type1) 中度保證","https://www.chcgroup.com.tw/%e5%a0%b1%e5%91%8a%e6%9b%b8%e4%b8%8b%e8%bc%89/","t100sa11_1103_111.pdf","112/06/28","","","","","","","","kellyyu@chcgroup.com.tw","",
"1104","環泥","UCC","5.股本達新臺幣二十億元以上者","水泥工業","111/01/01~111/12/31","2. 其他依循標準：依循GRI永續報告核心準則及永續會計準則(SASB)之建築材料業準則","會計師事務所：","秉承聯合會計師事務所","確信準則3000號(原公報第一號)","http://www.ucctw.com/m/412-1518-11789.php?Lang=zh-tw","t100sa11_1104_111.pdf","112/06/28","","","","","","","","peter.chang@ucctw.com","",
"1108","幸福","LUCKY CEMENT","5.股本達新臺幣二十億元以上者","水泥工業","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","https://www.luckygrp.com.tw/tw/index.asp?au_id=11&sub_id=53","t100sa11_1108_111.pdf","112/06/08","https://en.luckygrp.com.tw/upload/menu/20230627011400.pdf","t100sa11_1108_111_E.pdf","2023/06/27","","","","","barrychang@luckygrp.com.tw","",
"1110","東泥","TUNA CEMENT","5.股本達新臺幣二十億元以上者","水泥工業","111/01/01~111/12/31","1. GRI 準則","無","無資料","無資料","http://www.southeastcement.com.tw/index.php?q=csr","t100sa11_1110_111.pdf","112/06/29","","","","","","","","southeast@secement.com","",
"1216","統一","UNI-PRESIDENT","1.屬食品工業者、5.股本達新臺幣二十億元以上者","食品工業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","資誠聯合會計師事務所","確信準則3000號(原公報第一號)","https://www.uni-president.com.tw/ESG/index.html","t100sa11_1216_111.pdf","112/07/26","","","","","","","","zona.wang@mail.pec.com.tw","無",
"1219","福壽","FWUSOW","1.屬食品工業者、5.股本達新臺幣二十億元以上者","食品工業","111/01/01~111/12/31","2. 其他依循標準：GRI準則、氣候相關財務揭露(TCFD)、SASB準則","會計師事務所：","群智聯合會計師事務所","確信準則3000號(原公報第一號)","https://www.fwusow.com.tw/download/itemlist/category/165.html","t100sa11_1219_111.pdf","112/06/30","","","","","","","","ccyao@fwusow.com.tw","",
"1225","福懋油","FOPCO","1.屬食品工業者、5.股本達新臺幣二十億元以上者","食品工業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","勤業眾信聯合會計師事務所","確信準則3000號(原公報第一號)","http://fopco.com.tw/About.php?ADKey=27","t100sa11_1225_111.pdf","112/06/30","","","","","","","","matt.kuo@fopco.com.tw","無",
"1236","宏亞","Hunya","1.屬食品工業者","食品工業","111/01/01~111/12/31","1. GRI 準則","會計師事務所：","安永聯合會計師事務所","確信準則3000號(原公報第一號)","https://csr.hunya.com.tw/download.php","t100sa11_1236_111.pdf","112/08/14","","","","","","","","charleshsu@hunya.com.tw","",
