公司代號,公司名稱,英文簡稱,申報原因,產業類別,報告書內容涵蓋期間,編製依循準則,第三方驗證-驗證單位,第三方驗證-單位名稱,第三方驗證-採用標準,公司網站報告書相關資訊(中文版),中文版永續報告書,中文版上傳日期,英文版永續報告書網址,英文版永續報告書,英文版上傳日期,中文版永續報告書(修正後版本),上傳日期(中文修正後版本),英文版永續報告書(修正後版本),上傳日期(英文修正後版本),報告書聯絡資訊,備註
"1259","安心","AN-SHIN","2.屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","資誠聯合會計師事務所","確信準則公報第一號","https://encsr.mos.com.tw/index.php?lang=tw","t100sa11_1259_110.pdf","111/08/04","https://encsr.mos.com.tw/index.php?lang=tw","t100sa11_1259_110_E.pdf","2022/11/09","","","","","CSR@mos.com.tw","無",
"1264","德麥","TEHMAG","1.屬食品工業者","食品工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","志璟會計師事務所","確信準則公報第一號","https://www.tehmag.com.tw/investors.php?NO=3","t100sa11_1264_110.pdf","111/09/30","","","","","","","","acc@tehmag.com.tw","",
"1268","漢來美食","Hi-Lai Foods","2.屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","勤業眾信聯合會計師事務所","確信準則公報第一號","https://www.hilai-foods.com/stakeholders#98","t100sa11_1268_110.pdf","111/07/29","","","","","","","","stock@hilai-foods.com","",
"1336","台翰","TAIHAN","6.係自願編製與申報","電子零組件業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","BSI英國標準協會","AA1000 第1類型(Type1) 中度保證","","t100sa11_1336_110.pdf","111/09/30","","","","","","","","macro_chien@thpt.com.tw","無",
"1586","和勤","CFTC","6.係自願編製與申報","電機機械","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.cftc-hc.com.tw/csr/CSR%E6%94%BF%E7%AD%96.htm","t100sa11_1586_110.pdf","111/09/27","","","","t100sa11_1586_110_M.pdf","111/12/19","","","bruce@cftc.tw","",
"1742","台蠟","TWC","3.屬化學工業者","化學工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","資誠聯合會計師事務所","確信準則公報第一號","","t100sa11_1742_110.pdf","111/06/28","","","","t100sa11_1742_110_M.pdf","111/09/30","","","twx6688@ms26.hinet.net","",
"1777","生泰","SYN-TECH","6.係自願編製與申報","生技醫療業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","http://www.syn-tech.com.tw","t100sa11_1777_110.pdf","111/09/30","","","","","","","","fcsm@syn-tech.com.tw","",
"1785","光洋科","Solar","5.股本達新臺幣五十億元以上者","其他電子業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","台灣檢驗科技股份有限公司（SGS Taiwan Ltd.）","AA1000 第1類型(Type1) 中度保證","http://www.solartech.com.tw/tw/corporate_sustainability_reports.html","t100sa11_1785_110.pdf","111/06/28","http://www.solartech.com.tw/en/corporate_sustainability_reports.html","t100sa11_1785_110_E.pdf","2022/07/28","t100sa11_1785_110_M.pdf","111/06/30","","","service@solartech.com.tw","",
"1796","金穎生技","GeneFerm","1.屬食品工業者","食品工業","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","資誠聯合會計師事務所","確信準則公報第一號","https://www.geneferm.com/zh-tw/financials.html","t100sa11_1796_110.pdf","111/09/02","","","","","","","","investor@geneferm.com","無",
"2035","唐榮公司","TE　　","6.係自願編製與申報","鋼鐵工業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","http://www.tangeng.com.tw","t100sa11_2035_110.pdf","111/09/21","http://www.tangeng.com.tw","t100sa11_2035_110_E.pdf","2022/09/21","","","t100sa11_2035_110_M_E.pdf","2022/10/28","13076@mail.tangeng.com.tw","",
"2063","世鎧","SHEH KAI","6.係自願編製與申報","鋼鐵工業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.shehkai.com.tw/list/cate-60076.htm","t100sa11_2063_110.pdf","111/09/28","","","","","","","","roger@shehkai.com.tw","",
"2065","世豐","SF","6.係自願編製與申報","鋼鐵工業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.shehfung.com/index.php?option=module&lang=cht&task=pageinfo&id=345&index=1","t100sa11_2065_110.pdf","111/09/29","","","","","","","","http://www.shehfung.com","無",
"2643","捷迅","Soonest","6.係自願編製與申報","航運業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","http://www.soonest.com/","t100sa11_2643_110.pdf","111/06/30","","","","","","","","kelly@soonest.com.tw","",
"2729","瓦城","TTFB","2.屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","資誠聯合會計師事務所","確信準則公報第一號","http://www.ttfb.com/","t100sa11_2729_110.pdf","111/09/30","","","","","","","","csr@ttfb.com","",
"2740","天蔥","Mr. Onion","2.屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","蘊揚聯合會計師事務所","確信準則公報第一號","http://www.mr-onion.com/Enterprise/CSR","t100sa11_2740_110.pdf","111/09/29","","","","","","","","irene.lee@mr-onion.com","",
"2752","豆府","TOFU","2.屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","勤業眾信聯合會計師事務所","確信準則公報第一號","http://www.tofuglobal.com","t100sa11_2752_110.pdf","111/09/30","","","","","","","","tofu.ir@dubuhouse.com.tw","",
"2754","亞洲藏壽司","KURA SUSHI ASIA","2.屬餐飲收入占其全部營業收入之比率達百分之五十以上者","觀光餐旅","110/01/01~110/12/31","1. GRI 準則","會計師事務所：","安永聯合會計師事務所","確信準則公報第一號","https://investor.kurasushi.tw/corporate-social-responsibility/","t100sa11_2754_110.pdf","111/06/24","","","","","","","","ir@kurasushi.tw","NA",
"2755","揚秦","YoungQin","6.係自願編製與申報","觀光餐旅","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","英國標準協會台灣分公司(BSI Taiwan)","AA1000 第1類型(Type1) 中度保證","https://www.youngqin.com.tw/index.php?code=list&ids=888","t100sa11_2755_110.pdf","111/09/26","","","","","","","","CSR@youngqin.com.tw","",
"3081","聯亞","LandMark","6.係自願編製與申報","通信網路業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","http://www.lmoc.com.tw/index.php?option=module&lang=cht&task=showlist&id=25&index=3","t100sa11_3081_110.pdf","111/06/30","http://www.lmoc.com.tw/index.php?option=module&lang=cht&task=showlist&id=25&index=3","t100sa11_3081_110_E.pdf","2023/03/09","","","","","csr@lmoc.com.tw","",
"3083","網龍","CHINESEGAMER","6.係自願編製與申報","文化創意業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.chinesegamer.net/web/i9.asp","t100sa11_3083_110.pdf","111/09/27","","","","","","","","investment@chinesegamer.net","",
"3086","華義","WAYI　　","6.係自願編製與申報","文化創意業","110/01/01~110/12/31","1. GRI 準則","其他查驗證單位：","BSI英國標準協會","AA1000 第1類型(Type1) 中度保證","http://www.wayi.net/investors_Page_01_03.php","t100sa11_3086_110.pdf","111/09/28","http://www.wayi.net/investors_Page_01_03.php","t100sa11_3086_110_E.pdf","2022/12/28","","","","","ESG@wayi.com.tw","",
"3088","艾訊","AXIOMTEK","6.係自願編製與申報","電腦及週邊設備業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.axiomtek.com.tw/Default.aspx?MenuId=AboutUs&ItemId=194&C=%E6%B0%B8%E7%BA%8C%E7%99%BC%E5%B1%95%E5%B0%88%E5%8D%80","t100sa11_3088_110.pdf","111/06/29","https://www.axiomtek.com/Default.aspx?MenuId=AboutUs&ItemId=818&C=CSR+at+Axiomtek","t100sa11_3088_110_E.pdf","2022/12/01","","","","","skin.huang@axiomtek.com.tw","無",
"3093","港建*","TKK　","6.係自願編製與申報","其他電子業","110/01/01~110/12/31","1. GRI 準則","無","無資料","無資料","https://www.tkk.com.tw/tw/Csr","t100sa11_3093_110.pdf","111/09/29","https://www.tkk.com.tw/tw/Csr","t100sa11_3093_110_E.pdf","2022/12/31","","","","","nina_lin@tkk.com.tw","",
